'add discussion:forum' , 'view forum:forum' , #SUP: 253
'view:chat' , 'view:course' , #SUP: 290
'view:course' , 'view forums:forum' , #SUP: 252
'view:course' , 'view:chat' , #SUP: 315
'view:course' , 'view:user' , #SUP: 293
'view:resource' , 'view forum:forum' , #SUP: 283
'view:resource' , 'view:assign' , #SUP: 287
'view:page' , 'view:quiz' , #SUP: 256
'view:choice' , 'choose:choice' , #SUP: 352
'choose:choice' , 'view:choice' , #SUP: 251
'view discussion:forum' , 'view discussion:forum' , #SUP: 297
'view forum:forum' , 'view forum:forum' , 'view forum:forum' , #SUP: 264
'view forum:forum' , 'view forum:forum' , 'view:course' , #SUP: 334
'view forum:forum' , 'view:course' , 'view:resource' , #SUP: 292
'view forum:forum' , 'view discussion:forum' , 'view:course' , #SUP: 301
'view:course' , 'view forum:forum' , 'view forum:forum' , #SUP: 283
'view:course' , 'view forum:forum' , 'view:user' , #SUP: 294
'view:course' , 'view forum:forum' , 'view discussion:forum' , #SUP: 325
'view:course' , 'view:course' , 'view:page' , #SUP: 301
'view:course' , 'view:url' , 'view:course' , #SUP: 397
'view:course' , 'view:assign' , 'view:assign' , #SUP: 257
'view:course' , 'view:resource' , 'view:resource' , #SUP: 347
'view:course' , 'view:page' , 'view:course' , #SUP: 424
'view:course' , 'view:quiz' , 'view:course' , #SUP: 342
'view:course' , 'view:choice' , 'view:course' , #SUP: 304
'view:user' , 'view:course' , 'view:course' , #SUP: 266
'view:user' , 'view:user' , 'view:course' , #SUP: 257
'view:url' , 'view:course' , 'view:resource' , #SUP: 262
'view:assign' , 'view:assign' , 'view:course' , #SUP: 266
'view:resource' , 'view:resource' , 'view:course' , #SUP: 288
'view:resource' , 'view:resource' , 'view:resource' , #SUP: 261
'view:quiz' , 'view:course' , 'view forum:forum' , #SUP: 269
'view forum:forum' , 'view:course' , 'view forum:forum' , 'view:course' , #SUP: 269
'view forum:forum' , 'view:course' , 'view:assign' , 'view:course' , #SUP: 313
'view forum:forum' , 'add post:forum' , 'view forum:forum' , 'view forum:forum' , #SUP: 269
'view:course' , 'view forum:forum' , 'view:course' , 'view forum:forum' , #SUP: 283
'view:course' , 'view forum:forum' , 'view:course' , 'view:course' , #SUP: 317
'view:course' , 'view forum:forum' , 'view:course' , 'view:assign' , #SUP: 304
'view:course' , 'view forum:forum' , 'add post:forum' , 'view forum:forum' , #SUP: 298
'view:course' , 'view:course' , 'view forum:forum' , 'view:course' , #SUP: 304
'view:course' , 'view:course' , 'view:course' , 'view:course' , #SUP: 337
'view:course' , 'view:course' , 'view:assign' , 'view:course' , #SUP: 330
'view:course' , 'view:course' , 'view:resource' , 'view:course' , #SUP: 330
'view:course' , 'view:assign' , 'view submit assignment form:assign' , 'view:assign' , #SUP: 282
'view:course' , 'view:assign' , 'view:course' , 'view forum:forum' , #SUP: 320
'view:course' , 'view:assign' , 'view:course' , 'view:course' , #SUP: 344
'view:course' , 'view:assign' , 'view:course' , 'view:resource' , #SUP: 272
'view:course' , 'view:resource' , 'view:course' , 'view forum:forum' , #SUP: 269
'view:course' , 'view:resource' , 'view:course' , 'view:course' , #SUP: 316
'view:course' , 'view:resource' , 'view:course' , 'view:assign' , #SUP: 288
'view:assign' , 'view submit assignment form:assign' , 'view:assign' , 'submit:assign' , #SUP: 293
'view:assign' , 'view:course' , 'view forum:forum' , 'view:course' , #SUP: 286
'view:assign' , 'view:course' , 'view:course' , 'view:course' , #SUP: 254
'view:assign' , 'view:course' , 'view:assign' , 'view submit assignment form:assign' , #SUP: 262
'view:resource' , 'view:course' , 'view:assign' , 'view:course' , #SUP: 254
'view:course' , 'view:assign' , 'view:course' , 'view:assign' , 'view:course' , #SUP: 309
'view:course' , 'view:resource' , 'view:course' , 'view:resource' , 'view:course' , #SUP: 296
'continue attempt:quiz' , 'view summary:quiz' , 'close attempt:quiz' , 'view:quiz' , 'view:course' , #SUP: 276
'view submit assignment form:assign' , 'submit:assign' , 'view:assign' , 'submit for grading:assign' , 'view:assign' , 'view:course' , #SUP: 271
'view:quiz' , 'attempt:quiz' , 'continue attempt:quiz' , 'view summary:quiz' , 'close attempt:quiz' , 'view:quiz' , #SUP: 317
'view:course' , 'view:assign' , 'view submit assignment form:assign' , 'submit:assign' , 'view:assign' , 'submit for grading:assign' , 'view:assign' , #SUP: 262
'idle' , 'idle' , 'idle' , 'idle' , 'idle' , 'idle' , 'idle' , 'view:course' , #SUP: 263
